%ldx%ld Collage,%1$ldx%2$ld Collage,/* No comment provided by engineer. */
**Description**\n%@\n\n,**Description**\n%@\n\n,/* No comment provided by engineer. */
**Price**\n%@\n\n,**Price**\n%@\n\n,/* No comment provided by engineer. */
"**Quality Guarantee**\nOur products are of the highest quality and we’re confident you will love yours. If not, we offer a no quibble money back guarantee. Enjoy!","**Quality Guarantee**\nOur products are of the highest quality and we’re confident you will love yours. If not, we offer a no quibble money back guarantee. Enjoy!",/* No comment provided by engineer. */
**Quantity**\n%lu\n\n,**Quantity**\n%lu\n\n,/* No comment provided by engineer. */
**Shipping**\n%@\n\n,**Shipping**\n%@\n\n,/* No comment provided by engineer. */
**Shipping**\nFREE\n\n,**Shipping**\nFREE\n\n,/* No comment provided by engineer. */
**Shipping**\n~%@~ %@\n\n,**Shipping**\n~%1$@~ %2$@\n\n,/* No comment provided by engineer. */
**Size**\n%@\n\n,**Size**\n%@\n\n,/* No comment provided by engineer. */
401 Unauthorized Request Error whilst trying to upload an asset. Please check you included an Authorization header and that the supplied auth credentials are correct.,401 Unauthorized Request Error whilst trying to upload an asset. Please check you included an Authorization header and that the supplied auth credentials are correct.,/* No comment provided by engineer. */
500 Internal Server Error whilst trying to upload an asset. Please try again.,500 Internal Server Error whilst trying to upload an asset. Please try again.,/* No comment provided by engineer. */
Add,Add,/* No comment provided by engineer. */
Add %ld %@!,Add %1$ld %2$@!,/* No comment provided by engineer. */
Add a %@!,Add a %@!,/* No comment provided by engineer. */
Add Address,Add Address,/* No comment provided by engineer. */
Add another %@!,Add another %@!,/* No comment provided by engineer. */
Add Credit Card,Add Credit Card,/* No comment provided by engineer. */
Add Credit Card (TEST),Add Credit Card (TEST),/* No comment provided by engineer. */
Add Credit/Debit Card,Add Credit/Debit Card,/* No comment provided by engineer. */
Add more,Add more,/* No comment provided by engineer. */
Add New Address,Add New Address,/* No comment provided by engineer. */
Add Payment Method,Add Payment Method,/* No comment provided by engineer. */
Add Text,Add Text,/* No comment provided by engineer. */
Add to Basket,Add to Basket,/* No comment provided by engineer. */
Address Book,Address Book,/* No comment provided by engineer. */
Address Search,Address Search,/* No comment provided by engineer. */
All Photos,All Photos,/* No comment provided by engineer. */
Alternatively type the following URL into your mobile browser's address bar,Alternatively type the following URL into your mobile browser's address bar,/* No comment provided by engineer. */
Are you sure you want to delete this item?,Are you sure you want to delete this item?,/* No comment provided by engineer. */
"Are you sure you want to proceed? If you do, the blank pages will be filled in with duplicate photos","Are you sure you want to proceed? If you do, the blank pages will be filled in with duplicate photos",/* No comment provided by engineer. */
Are you sure?,Are you sure?,/* No comment provided by engineer. */
Authorise,Authorise,/* No comment provided by engineer. */
Back,Back,/* No comment provided by engineer. */
BACK,BACK,/* No comment provided by engineer. */
Basket is empty,Basket is empty,/* No comment provided by engineer. */
Cancel,Cancel,/* No comment provided by engineer. */
Card Number,Card Number,/* No comment provided by engineer. */
Checking Code,Checking Code,/* No comment provided by engineer. */
Checkout,Checkout,/* No comment provided by engineer. */
Checkout for Free!,Checkout for Free!,/* No comment provided by engineer. */
Choose Address,Choose Address,/* No comment provided by engineer. */
Choose Country,Choose Country,/* No comment provided by engineer. */
Choose Delivery Address,Choose Delivery Address,/* No comment provided by engineer. */
Choose Photo,Choose Photo,/* No comment provided by engineer. */
Choose Photos,Choose Photos,/* No comment provided by engineer. */
City,City,/* No comment provided by engineer. */
Clearing Code,Clearing Code,/* No comment provided by engineer. */
cm,cm,/* No comment provided by engineer. */
Continue Shopping,Continue Shopping,/* No comment provided by engineer. */
Country,Country,/* No comment provided by engineer. */
County,County,/* No comment provided by engineer. */
Create a %@ for\nonly %@ %@,Create a %1$@ for\nonly %2$@ %3$@,/* No comment provided by engineer. */
Create a pack for\nonly %@ %@,Create a pack for\nonly %1$@ %2$@,/* No comment provided by engineer. */
Create another %@ for\nonly %@ %@,Create another %1$@ for\nonly %2$@ %3$@,/* No comment provided by engineer. */
Create another pack for\nonly %@ %@,Create another pack for\nonly %1$@ %2$@,/* No comment provided by engineer. */
Create Image,Create Image,/* No comment provided by engineer. */
Crop,Crop,/* No comment provided by engineer. */
CVV,CVV,/* No comment provided by engineer. */
Default,Default,/* No comment provided by engineer. */
Delete Item,Delete Item,/* No comment provided by engineer. */
Delivery Address,Delivery Address,/* No comment provided by engineer. */
Delivery Details,Delivery Details,/* No comment provided by engineer. */
Details,Details,/* No comment provided by engineer. */
Do you want to log out of %@?,Do you want to log out of %@?,/* No comment provided by engineer. */
Do you want to remove this photo?,Do you want to remove this photo?,/* No comment provided by engineer. */
Done,Done,/* No comment provided by engineer. */
Edit,Edit,/* No comment provided by engineer. */
Edit Address,Edit Address,/* No comment provided by engineer. */
Edit Poster,Edit Poster,/* No comment provided by engineer. */
Email,Email,/* No comment provided by engineer. */
Enter a valid credit card number,Enter a valid credit card number,/* No comment provided by engineer. */
Enter a valid CVV number,Enter a valid CVV number,/* No comment provided by engineer. */
Enter a valid expiry date,Enter a valid expiry date,/* No comment provided by engineer. */
Enter Address Manually,Enter Address Manually,/* No comment provided by engineer. */
Error validating the order. Please try again later.,Error validating the order. Please try again later.,/* No comment provided by engineer. */
Failed to download phone case mask. Please check your internet connectivity and try again,Failed to download phone case mask. Please check your internet connectivity and try again,/* No comment provided by engineer. */
Failed to get the price of the order. Please try again.,Failed to get the price of the order. Please try again.,/* No comment provided by engineer. */
Failed to get upload URL. Try again later.,Failed to get upload URL. Try again later.,/* No comment provided by engineer. */
Failed to log in to Instagram. Please check your internet connectivity and try again,Failed to log in to Instagram. Please check your internet connectivity and try again,/* No comment provided by engineer. */
Failed to store card details with PayPal. Please try again.,Failed to store card details with PayPal. Please try again.,/* No comment provided by engineer. */
Failed to synchronize product templates. Please try again.,Failed to synchronize product templates. Please try again.,/* No comment provided by engineer. */
"Failed to validate card details, please try again.","Failed to validate card details, please try again.",/* No comment provided by engineer. */
Failed to validate the order. Please try again.,Failed to validate the order. Please try again.,/* No comment provided by engineer. */
Filters,Filters,/* No comment provided by engineer. */
First Name,First Name,/* No comment provided by engineer. */
Flip,Flip,/* No comment provided by engineer. */
FONTS,FONTS,/* No comment provided by engineer. */
Fonts,Fonts,/* No comment provided by engineer. */
Free,Free,/* No comment provided by engineer. */
FREE,FREE,/* No comment provided by engineer. */
FRONT,FRONT,/* No comment provided by engineer. */
Great gifts for all the family,Great gifts for all the family,/* No comment provided by engineer. */
Image Is Too Small,Image Is Too Small,/* No comment provided by engineer. */
IMAGE TOOLS,IMAGE TOOLS,/* No comment provided by engineer. */
Image upload failed with a %lu HTTP response status code. Please try again.,Image upload failed with a %lu HTTP response status code. Please try again.,/* No comment provided by engineer. */
inches,inches,/* No comment provided by engineer. */
Invalid Email Address,Invalid Email Address,/* No comment provided by engineer. */
Invalid Phone Number,Invalid Phone Number,/* No comment provided by engineer. */
Large,Large,/* No comment provided by engineer. */
Last Name,Last Name,/* No comment provided by engineer. */
Let's pick\nan image!,Let's pick\nan image!,/* No comment provided by engineer. */
Line 1,Line 1,/* No comment provided by engineer. */
Line 2,Line 2,/* No comment provided by engineer. */
Log In,Log In,/* No comment provided by engineer. */
Log out,Log out,/* No comment provided by engineer. */
Login,Login,/* No comment provided by engineer. */
Maximum Photos Reached,Maximum Photos Reached,/* No comment provided by engineer. */
Medium,Medium,/* No comment provided by engineer. */
Missing Delivery Address,Missing Delivery Address,/* No comment provided by engineer. */
MM/YY,MM/YY,/* No comment provided by engineer. */
Move Pages,Move Pages,/* No comment provided by engineer. */
New Payment,New Payment,/* No comment provided by engineer. */
Next,Next,/* No comment provided by engineer. */
No,No,/* No comment provided by engineer. */
No photos,No photos,/* No comment provided by engineer. */
No Thanks,No Thanks,/* No comment provided by engineer. */
"No, keep it","No, keep it",/* No comment provided by engineer. */
"No, not yet","No, not yet",/* No comment provided by engineer. */
Not now,Not now,/* No comment provided by engineer. */
OK,OK,/* No comment provided by engineer. */
Only registered %d/%d image URLs with the asset endpoint,Only registered %1$d/%2$d image URLs with the asset endpoint,/* No comment provided by engineer. */
Oops!,Oops!,/* No comment provided by engineer. */
Or print on a product below ▼,Or print on a product below ▼,/* No comment provided by engineer. */
Order Id,Order Id,/* No comment provided by engineer. */
Order Summary,Order Summary,/* No comment provided by engineer. */
