ENGLISH/INTERNAL,TO TRANSLATE,COMMENT/CONTEXT
"**Quality Guarantee**\nOur products are of the highest quality and we’re confident you will love yours. If not, we offer a no quibble money back guarantee. Enjoy!","**Záruka kvality**\nNaše produkty jsou vyrobeny v té nejvyšší kvalitě. Proto jsme si jistí, že si je zamilujete. Pokud ne, nabízíme bezproblémovou garanci vrácení peněz. Užijte si to!"
"Failed to validate card details, please try again.","Nepodařilo se ověřit údaje o kartě, zkuste to znovu."
"No, keep it","Ne, ponechat"
"This will log out of any accounts, clear selected photos and start over","Tímto dojde k odhlášení ze všech účtů, odstranění vybraných fotografií a budete moci začít znovu"
"Yes, remove it","Ano, odstranit"
%@ days,%@ dnů
%@ working days,%@ pracovních dnů
%ldx%ld Collage,koláž %ld × %ld
1 day,1 den
401 Unauthorized Request Error whilst trying to upload an asset. Please check you included an Authorization header and that the supplied auth credentials are correct.,"Při nahrávání obsahu se vyskytla chyba 401 – neautorizovaný přístup. Zkontrolujte, že jste připojili autorizační záhlaví a že zadané autorizační přihlašovací údaje jsou správné."
500 Internal Server Error whilst trying to upload an asset. Please try again.,Při nahrávání obsahu se vyskytla chyba 500 – interní chyba serveru. Zkuste to prosím znovu.
Add %ld %@!,Přidat %ld %@!
Add Address,Přidat adresu
Add Credit Card (TEST),Přidat kreditní kartu (TEST)
Add Credit Card,Přidat kreditní kartu
Add Credit/Debit Card,Přidat kreditní/debetní kartu
Add New Address,Přidat novou adresu
Add Payment Method,Přidat platební metodu
Add Text,Přidat text
Add a %@!,Přidat %@!
Add a photo\non this side,Přidat fotografii\nna tuto stranu
Add another %@!,Přidat další %@!
Add more,Přidat další
Add to Basket,Přidat do košíku
Add,Přidat
Address Book,Adresář
All Photos,Všechny fotografie
Alternatively type the following URL into your mobile browser's address bar,Nebo do adresního řádku mobilního prohlížeče zadejte následující adresu URL
Are you sure you want to delete this item?,Opravdu chcete odstranit tuto položku?
Are you sure?,Jste si jistí?
Authorise,Autorizovat
BACK,ZADNÍ STRANA
Back Image Is Too Small,Zadní snímek je příliš malý
Back,Zpět
Basket is empty,Košík je prázdný
CVV,CVV
Cancel,Storno
Card Number,Číslo karty
Checking Code,Kontrola kódu
Checkout for Free!,Vyzkoušet zdarma!
Checkout,Vyzkoušet
Choose Address,Vybrat adresu
Choose Country,Vybrat zemi
Choose Delivery Address,Vybrat dodací adresu
Choose Photo,Vybrat fotografii
Choose Photos,Vybrat fotografie
City,Město
Clearing Code,Mazání kódu
Completed Orders,Dokončené objednávky
Continue Shopping,Pokračovat v nákupu
County,Okres
Create Image,Vytvořit snímek
Create a %@ for\nonly %@ %@,Vytvořit %@ za\npouhých %@ %@
Create a pack for\nonly %@ %@,Vytvořit sadu za\npouhých %@ %@
Create another %@ for\nonly %@ %@,Vytvořit další %@ za\npouhých %@ %@
Create another pack for\nonly %@ %@,Vytvořit další sadu za\npouhých %@ %@
Crop,Oříznutí
Default,Výchozí
Delete Item,Odstranit položku
Delivery Details,Informace o dodání
Description,Popis
Details,Podrobnosti
Discard Edits,Zahodit úpravy
Do you want to log out of %@?,Přejete si odhlásit z %@?
Do you want to remove this photo?,Přejete si odstranit tuto fotografii?
Done,Hotovo
Edit Address,Upravit adresu
Edit,Upravit
Email,E-mail
End Session,Ukončit relaci
