ENGLISH/INTERNAL,TO TRANSLATE,COMMENT/CONTEXT
%@ days,%@ days,"/* Examples: 2-5 days, 7 days */"
%ldx%ld Collage,%ldx%ld Collage,/* example: 5x7 Collage */
1 day,1 day,
Add %ld %@!,Add %ld %@!,
Add a %@!,Add a %@!,
Add a photo\non this side,Add a photo\non this side,/* this side [of the shirt] */
Add another %@!,Add another %@!,
Add Credit Card,Add Credit Card,
Add Credit Card (TEST),Add Credit Card (TEST),
Add Text,Add Text,/* Add text on image */
All Photos,All Photos,
Alternatively type the following URL into your mobile browser's address bar,Alternatively type the following URL into your mobile browser's address bar,
Are you sure you want to delete this item?,Are you sure you want to delete this item?,/* Refers to a basket item */
Are you sure?,Are you sure?,
Authorise,Authorise,
BACK,BACK,/* Back of the photo */
Back Image Is Too Small,Back Image Is Too Small,
Checkout,Checkout,
Choose Photo,Choose Photo,
cm,cm,/* Centimeters */
Completed Orders,Completed Orders,
Create a %@ for\nonly %@ %@,Create a %@ for\nonly %@ %@,
Create a pack for\nonly %@ %@,Create a pack for\nonly %@ %@,
Create another %@ for\nonly %@ %@,Create another %@ for\nonly %@ %@,
Create another pack for\nonly %@ %@,Create another pack for\nonly %@ %@,
Create Image,Create Image,
Crop,Crop,/* Crop image */
CVV,CVV,/* The credit card security code */
Default,Default,
Delete Item,Delete Item,/* Delete [basket item] */
Description,Description,/* Product description */
Discard Edits,Discard Edits,
Do you want to log out of %@?,Do you want to log out of %@?,/* Log out of Instagram/Facebook */
Do you want to remove this photo?,Do you want to remove this photo?,
Enter a valid card number,Enter a valid card number,
Error validating the order. Please try again later.,Error validating the order. Please try again later.,
Failed to download phone case mask. Please check your internet connectivity and try again,Failed to download phone case mask. Please check your internet connectivity and try again,
Failed to get upload URL. Try again later.,Failed to get upload URL. Try again later.,
Failed to log in to Instagram. Please check your internet connectivity and try again,Failed to log in to Instagram. Please check your internet connectivity and try again,
"Failed to validate card details, please try again.","Failed to validate card details, please try again.",
Filters,Filters,/* Image filters */
Flip,Flip,/* Horizontally flip image */
Fonts,Fonts,
For only %@ extra,For only %@ extra,/* [Add a photo on this side of the shirt] for only $4.00 extra */
FREE,FREE,"/* Free, no cost */"
From,From,
FRONT,FRONT,/* Front of the photo */
Great gifts for all the family,Great gifts for all the family,
IMAGE TOOLS,IMAGE TOOLS,
Image upload failed with a %lu HTTP response status code. Please try again.,Image upload failed with a %lu HTTP response status code. Please try again.,
inches,inches,
Large,Large,
Let's pick\nan image!,Let's pick\nan image!,"/* Let's pick an image! The \n means there is a line break there. Please put it in the middle of the phrase, as best as you can. If one needs to be longer, it should be the first half. */"
Log In,Log In,
Log out,Log out,
Login,Login,
Maximum Photos Reached,Maximum Photos Reached,
Medium,Medium,
MM/YY,MM/YY,/* Credit card date format: MonthMonth/YearYear */
MORE ITEMS\nCOMING SOON!,MORE ITEMS\nCOMING SOON!,
No,No,
No Thanks,No Thanks,
"No, keep it","No, keep it","/* No, keep [the photo] */"
Not now,Not now,
OOPS\nSOMETHING WENT WRONG\n PLEASE RETRY BELOW,OOPS\nSOMETHING WENT WRONG\n PLEASE RETRY BELOW,
Or print on a product below ▼,Or print on a product below ▼,
Order History,Order History,
Pack of,Pack of,/* Pack of [20 square photos] */
Please add %d more.,Please add %d more.,/* Please add [a number] more [photos] */
Please add some images.,Please add some images.,
Please add some photos,Please add some photos,
Please enter your first and last name.,Please enter your first and last name.,
Please fill in Line 1 of the address.,Please fill in Line 1 of the address.,
Please fill in your city.,Please fill in your city.,
Please fill in your postal code.,Please fill in your postal code.,
Please scan the QR code using a QR reader app on your device.,Please scan the QR code using a QR reader app on your device.,
Please select %d images.,Please select %d images.,/* Please select [number] images */
Please select %ld photos,Please select %ld photos,
Please select at least %d images.,Please select at least %d images.,/* Please select at least [number] images */
Please select no more than %d images.,Please select no more than %d images.,/* Please select no more than [number] images */
Please select only %ld photo,Please select only %ld photo,
Please select some images.,Please select some images.,
Please select up to %ld photos,Please select up to %ld photos,
PRINT AT HOME,PRINT AT HOME,
Print It Anyway,Print It Anyway,
Print Shop,Print Shop,
PRODUCT OPTIONS,PRODUCT OPTIONS,
Promotional Discount,Promotional Discount,
Receipt,Receipt,
Recents,Recents,/* Recent photos used */
Remove?,Remove?,/* Remove [photo]? */
