ENGLISH/INTERNAL,TO TRANSLATE,COMMENT/CONTEXT
%@ working days,%@ días laborables,
%ldx%ld Collage,Collage %ldx%ld,
1 day,1 día,
Add %ld %@!,Añadir %ld %@!,
Add a %@!,Añadir %@!,
Add a photo\non this side,Añadir una foto\no en este lado,
Add another %@!,Añadir otro/a %@!,
Add Credit Card,Añadir tarjeta de crédito,
Add Credit Card (TEST),Añadir tarjeta de crédito (PRUEBA),
Add Text,Añadir texto,
All Photos,Todas las fotos,
Alternatively type the following URL into your mobile browser's address bar,"O, teclear la siguiente dirección URL en la barra de direcciones del navegador de tu móvil. ",
Are you sure you want to delete this item?,¿Estás seguro/a de que quieres eliminar esto?,
Are you sure?,¿Estás seguro/a?,
Authorise,Autorizar,
BACK,ATRÁS,
Back Image Is Too Small,La imagen de atrás es muy pequeña,
Checkout,Compra,
Choose Photo,Elegir la foto,
cm,cm,
Completed Orders,Pedidos completados,
Create a %@ for\nonly %@ %@,Crear un %@ para\no solo %@ %@,
Create a pack for\nonly %@ %@,Crear un paquete para\no solo %@ %@,
Create another %@ for\nonly %@ %@,Crear otro %@ para\no solo %@ %@,
Create another pack for\nonly %@ %@,Crear otro paquete para\no solo %@ %@,
Create Image,Crear imagen,
Crop,Recortar,
CVV,Número CVV,
Default,Por defecto,
Delete Item,Eliminar ítem,
Description,Descripción,
Discard Edits,Ignorar las tareas de edición,
Do you want to log out of %@?,¿Te quieres desconectar de %@?,
Do you want to remove this photo?,¿Quieres quitar esta foto?,
End Session,Fin de la sesión,
Enter a valid card number,Teclea el número de una tarjeta válido,
Error validating the order. Please try again later.,"Error en la validación del pedido. Por favor, inténtalo de nuevo más tarde.",
Failed to download phone case mask. Please check your internet connectivity and try again,Descarga fallida de la máscara de la carcasa del teléfono. Comprueba tu conexión a internet e inténtalo de nuevo.,
Failed to get upload URL. Try again later.,Fallo en la carga de la URL. Inténtalo de nuevo.,
Failed to log in to Instagram. Please check your internet connectivity and try again,"Conexión fallida a Instagram. Por favor, comprueba tu conexión a internet e inténtalo de nuevo.",
"Failed to validate card details, please try again.","Fallo en la validación de los detalles de la tarjeta. Inténtalo de nuevo, por favor.",
Filters,Filtros,
Flip,Dar la vuelta,
Fonts,Fuentes,
For only %@ extra,Por solo un %@ extra,
FREE,GRATIS,
From,De,
FRONT,FRONTAL,
Great gifts for all the family,Excelentes regalos para toda la familia,
IMAGE TOOLS,HERRAMIENTAS DE IMAGEN,
Image upload failed with a %lu HTTP response status code. Please try again.,"Subida de la imagen fallida con un código de estado de respuesta de %lu HTTP. Por favor, inténtalo de nuevo.",
inches,Centímetros,
Large,Grande,
Let's pick\nan image!,¡Selecciona \nan imagen!,
Log In,Conectarse,
Log out,Desconectarse,
Login,Conexión,
Maximum Photos Reached,Alcancazado el máximo de fotos,
Medium,Medio,
MM/YY,Mes/Año,
MORE ITEMS\nCOMING SOON!,¡MÁS ITEMS\nPRONTO!,
No,No,
No Thanks,"No, gracias",
"No, keep it","No, mántenlo",
Not now,"Ahora, no",
OOPS\nSOMETHING WENT WRONG\n PLEASE RETRY BELOW,¡OH!\nALGO HA IDO MAL\n VUELVE A INTENTARLO ABAJO,
Or print on a product below â–¼,O imprime en un producto de más abajo â–¼,
Order History,Historial del pedido,
Pack of,Paquete de,
Photo Library,Archivo fotográfico,
Please add %d more.,"Por favor, añadir %d más.",
Please add some photos,"Por favor, añadir algunas fotos",
Please enter your first and last name.,"Por favor, teclea tu nombre y apellidos.",
Please fill in Line 1 of the address.,"Por favor, teclea la línea 1 de la dirección.",
Please fill in your city.,"Por favor, teclea la ciudad.",
Please fill in your postal code.,"Por favor, teclea tu código postal.",
Please scan the QR code using a QR reader app on your device.,"Por favor, escanea el código QR utilizando una aplicación de lectura QR en tu dispositivo.",
Please select %d images.,"Por favor, selecciona %d imágenes.",
Please select %ld photos,"Por favor, selecciona %ld fotos",
Please select at least %d images.,"Por favor, selecciona al menos %d imágenes.",
Please select no more than %d images.,"Por favor, selecciona no más de %d imágenes.",
Please select only %ld photo,"Por favor, selecciona solo %ld fotos",
Please select some images.,"Por favor, selecciona algunas imágenes.",
Please select up to %ld photos,"Por favor, selecciona hasta %ld fotos",
PRINT AT HOME,IMPRIMIR EN CASA,
Print It Anyway,Imprimir de todas formas,
Print Shop,Tienda de impresión,
Privacy Policy,Política de privacidad,
PRODUCT OPTIONS,OPCIONES DE PRODUCTO,
Promotional Discount,Descuento promocional,
Receipt,Recibo,
Recents,Recientes,
Remove?,¿Eliminar?,
Rotate,Rotar,
Save as Copy,Guardar como copia,
Scan QR Code,Escanear código QR ,
Select Size,Seleccionar tamaño,
Shipping Method,Sistema de envío,
Small,Pequeño,
Start by tapping this button,Comenzar tocando este botón,
Start Creating,Comenzar creación,
Swipe to rotate your mug,Arrastrar para rotar tu taza,
Tap image to change,Tocar la imagen para cambiar,
Tap image to change or hold to move,Tocar la imagen para cambiar o sujetar para moverla,
Tap image to edit,Tocar la imagen para editarla,
Tap image to edit or hold to move,Tocar la imagen para editarla o sujetar para moverla,
Tap on this button,Tocar este botón,
Text Colour,Color del texto,
TEXT TOOLS,HERRAMIENTAS DEL TEXTO,
There was a problem getting Print Shop products. Check your Internet connectivity or try again later.,Se ha producido un problema para conseguir los productos de la Tienda de impresión. Comprueba tu conexión a internet o inténtalo más tarde.,
There was an error getting one of your photos. Please remove or replace it.,"Se ha producido un error para conseguir tus fotos. Por favor, elimínalo o reemplázalo.",
There was an error trying to validate the card. Please try again later.,"Se ha producido un error intentando validar la tarjeta. Por favor,inténtalo de nuevo más tarde.",
This will discard your edits.,Esto hará que se elimen tus trabajos de edición.,
"This will log out of any accounts, clear selected photos and start over","Esto hará que te desconectes de todas las cuentas, se descarten las fotos seleccionadas y haya que comenzar desde el principio.",
Tracked,Localizado,
Uploading book,Subiendo libro,
View Item,Ítem visualizado,
