ENGLISH/INTERNAL,TO TRANSLATE,COMMENT/CONTEXT
%@ working days,%@ jours ouvrables,
%ldx%ld Collage,%ldx%ld  pêle-mêle,
1 day,1 jour,
Add %ld %@!,Ajouter ,
Add a %@!,Ajouter ,
Add a photo\non this side,Ajouter une photo de ce côté,
Add another %@!,Ajouter %@! Supplémentaire,
Add Credit Card,Ajouter une carte de paiement,
Add Credit Card (TEST),Ajouter une carte de paiement (TEST),
Add Text,Ajouter du texte,
All Photos,Toutes les photos,
Alternatively type the following URL into your mobile browser's address bar,Ou tapez cette URL dans la barre d'adresse du navigateur,
Are you sure you want to delete this item?,Souhaitez-vous supprimer cet élément?,
Are you sure?,Êtes-vous sûr?,
Authorise,OK,
BACK,Retour,
Back Image Is Too Small,Image trop petite,
Checkout,Payer,
Choose Photo,Choisir une photo,
cm,cm,
Completed Orders,Mes commandes,
Create a %@ for\nonly %@ %@,Créez un(e)  %@ pour %@ %@ de plus,
Create a pack for\nonly %@ %@,Créez un(e)  %@ pour %@ %@ de plus,
Create another %@ for\nonly %@ %@,Créez un(e)  %@ pour %@ %@ de plus,
Create another pack for\nonly %@ %@,Créez un(e)  %@ pour %@ %@ de plus,
Create Image,Créez une image,
Crop,Rogner,
CVV,Code de sécurité,
Default,Par défaut,
Delete Item,Supprimer,
Description,Description,
Discard Edits,Supprimer les modifications,
Do you want to log out of %@?,Se déconnecter de %@?,
Do you want to remove this photo?,Supprimer cette photo?,
End Session,Se déconnecter,
Enter a valid card number,Numéro de carte non valide,
Error validating the order. Please try again later.,Une erreur est survenue. Veuillez réessayer ultérieurement.,
Failed to download phone case mask. Please check your internet connectivity and try again,Erreur de téléchargement. Vérifiez votre connection internet et réessayez.,
Failed to get upload URL. Try again later.,Une erreur est survenue. Veuillez réessayer ultérieurement.,
Failed to log in to Instagram. Please check your internet connectivity and try again,Echec de connexion. Vérifiez votre connection internet et réessayez.,
"Failed to validate card details, please try again.",Une erreur est survenue. Veuillez réessayer ultérieurement.,
Filters,Filtres,
Flip,Retourner,
Fonts,Polices,
For only %@ extra,Pour %@ de plus,
FREE,Gratuit,
From,De,
FRONT,Avant,
