ENGLISH/INTERNAL,TO TRANSLATE,COMMENT/CONTEXT
"**Quality Guarantee**\nOur products are of the highest quality and we’re confident you will love yours. If not, we offer a no quibble money back guarantee. Enjoy!","**Minőséggarancia**\nTermékeink minősége a lehető legkiválóbb, és bízunk benne, hogy te is rajongsz majd értük. Ha nem így történne, indoklás nélküli pénzvisszatérítést garantálunk. Használd örömmel!",
"Failed to validate card details, please try again.","Sikertelen volt a kártya adatainak hitelesítése, próbáld újra.",
"No, keep it","Nem, szeretném megtartani",
"This will log out of any accounts, clear selected photos and start over","Ezzel kijelentkezel minden fiókból, eltávolítja a kijelölt fényképeket és újrakezdi a műveletet",
"Yes, remove it","Igen, távolítsa el",
%@ working days,%@ munkanap,
%ldx%ld Collage,%ldx%ld kollázs,
1 day,1 nap,
401 Unauthorized Request Error whilst trying to upload an asset. Please check you included an Authorization header and that the supplied auth credentials are correct.,"401-es hiba: nem hitelesített kérés tartalomfeltöltési kísérlet közben. Ellenőrizd, hogy feltüntettél-e hitelesítési fejlécet, és hogy a megadott engedélyezési adatok helyesek-e.",
500 Internal Server Error whilst trying to upload an asset. Please try again.,500-as hiba: belső kiszolgálói hiba tartalomfeltöltési kísérlet közben. Próbáld meg újra.,
Add %ld %@!,Add hozzá a következőt: %ld %@!,
Add Address,Cím hozzáadása,
Add Credit Card (TEST),Bankkártya hozzáadása (TESZT),
Add Credit Card,Bankkártya hozzáadása,
Add Credit/Debit Card,Hitel-/bankkártya hozzáadása,
Add New Address,Új cím hozzáadása,
Add Payment Method,Fizetési mód hozzáadása,
Add Text,Szöveg hozzáadása,
Add a %@!,Add hozzá a következőt: %@!,
Add a photo\non this side,Adj hozzá egy fényképet\nezen az oldalon,
Add another %@!,Adj hozzá még egyet a következőből: %@!,
Add more,Továbbiak hozzáadása,
Add to Basket,Kosárhoz ad,
Add,Hozzáadás,
Address Book,Címjegyzék,
All Photos,Összes fénykép,
Alternatively type the following URL into your mobile browser's address bar,Alternatív megoldásként írd be az alábbi URL-címet mobileszközöd böngészőjének címsorába,
Are you sure you want to delete this item?,Biztosan szeretnéd törölni ezt a tételt?,
Are you sure?,Biztos vagy benne?,
Authorise,Engedélyezés,
BACK,HÁTSÓ,
Back Image Is Too Small,A hátsó kép túl kicsi,
Back,Vissza,
