ENGLISH/INTERNAL,TO TRANSLATE,COMMENT/CONTEXT
Add %ld %@!,Aggiungi %ld %@!,
"**Quality Guarantee**\nOur products are of the highest quality and we’re confident you will love yours. If not, we offer a no quibble money back guarantee. Enjoy!","**Qualità garantita**\n I nostri prodotti sono di alta qualità e siamo sicuri che ti piaceranno. In caso contrario, offriamo una garanzia di rimborso senza eccezioni. Buon divertimento!",
Add a %@!,Aggiungi a %@!,
Add a photo\non this side,Aggiungere una foto\nsu questo lato,
Add Address,Aggiungi indirizzo,
Add,Aggiungi,
%ldx%ld Collage,%ldx%ld Collage,
Add another %@!,Aggiungi un altro %@!,
500 Internal Server Error whilst trying to upload an asset. Please try again.,500 Errore interno del server durante il tentativo di upload di una asset. Riprova.,
401 Unauthorized Request Error whilst trying to upload an asset. Please check you included an Authorization header and that the supplied auth credentials are correct.,401 Errore di richiesta non autorizzata durante il tentativo di upload di un asset. Ti preghiamo di controllare di aver inserito un'autorizzazione e che le credenziali fornite siano corrette.,
Add Credit/Debit Card,Aggiungi carta di credito/carta di debito,
Add Credit Card (TEST),Aggiungi carta di credito (PROVA),
Add Payment Method,Aggiungi metodo di pagamento,
Add New Address,Aggiungi nuovo indirizzo,
Add Credit Card,Aggiungi carta di credito,
Address Search,Ricerca indirizzo,
Add Text,Aggiungi testo,
Add more,Aggiungi altro,
Address Book,Rubrica degli indirizzi,
Add to Basket,Aggiungi al carrello,
All Photos,Tutte le foto,
Alternatively type the following URL into your mobile browser's address bar,In alternativa digita il seguente URL nella barra degli indirizzi del tuo browser mobile.,
"Are you sure you want to proceed? If you do, the blank pages will be filled in with duplicate photos","Sei sicuro di voler procedere? Se lo fai, le pagine vuote verranno riempite con doppioni delle foto.",
Are you sure you want to delete this item?,Sei sicuro di voler eliminare questo prodotto?,
BACK,INDIETRO,
Are you sure?,Sei sicuro?,
Authorise,Autorizza,
Back,Indietro,
Basket is empty,Il carrello è vuoto,
Back Image Is Too Small,Indietro immagine è troppo piccola,
basket.Edit,Modifica.carrello,
Cancel,Annulla,
Card Number,Numero carta,
Checking Code,Controllo codice,
Checkout,Checkout,
Checkout for Free!,Effettua il checkout gratuitamente!,
Choose Address,Scegli indirizzo,
Choose Delivery Address,Scegli indirizzo di consegna,
Choose Country,Seleziona paese,
Choose Photo,Scegli foto,
Choose Photos,Scegli foto,
City,Città,
Clearing Code,Resetta codice,
Completed Orders,Ordini completati,
cm,cm,
Continue Shopping,Continua con gli acquisti,
Country,Paese,
Create a %@ for\nonly %@ %@,Crea un %@ per\n soli %@%@,
County,Regione,
Create a pack for\nonly %@ %@,Crea una confezione per\n soli %@%@,
Create another %@ for\nonly %@ %@,Crea un altro %@ per\n soli %@%@,
Create another pack for\nonly %@ %@,Crea un'altra confezione per\n soli %@%@,
Create Image,Crea immagine,
Crop,Ritaglia,
CVV,Codice CVV,
Default,Predefinito,
Delete Item,Elimina oggetto,
Delivery Address,Indirizzo di consegna,
Delivery Details,Dettagli di consegna,
Description,Descrizione,
Details,Dettagli,
Do you want to log out of %@?,Vuoi uscire da %@?,
Do you want to remove this photo?,Vuoi rimuovere questa foto?,
Edit,Fatto,
Done,Fatto,
Email,Email,
