ENGLISH/INTERNAL,TO TRANSLATE,COMMENT/CONTEXT
%@ working days,%@ giorni lavorativi,
%ldx%ld Collage,%ldx%ld Collage,
1 day,1 giorno,
Add %ld %@!,Aggiungi %ld %@!,
Add a %@!,Aggiungi a %@!,
Add a photo\non this side,Aggiungi una foto\non questo lato,
Add another %@!,Aggiungi un altro %@!,
Add Credit Card,Aggiungi carta di credito,
Add Credit Card (TEST),Aggiungi carta di credito (TEST),
Add Text,Aggiungi testo,
All Photos,Tutte le foto,
Alternatively type the following URL into your mobile browser's address bar,In alternativa digita il seguente URL nella barra degli indirizzi del tuo browser mobile,
Are you sure you want to delete this item?,Sei sicuro di voler cancellare questo articolo?,
Are you sure?,Sei sicuro?,
Authorise,Autorizza,
BACK,INDIETRO,
Back Image Is Too Small,L'immagine di sfondo è troppo piccola,
Checkout,Cassa,
Choose Photo,Scegli foto,
cm,cm,
Completed Orders,Ordini Completati,
Create a %@ for\nonly %@ %@,Crea %@ a\nsolo %@ %@,
Create a pack for\nonly %@ %@,Crea un pacchetto a\nsolo %@ %@,
Create another %@ for\nonly %@ %@,Crea un altro a\nsolo %@ %@,
Create another pack for\nonly %@ %@,Crea un altro pacchetto a\nsolo %@ %@,
Create Image,Crea immagine,
Crop,Ritaglia,
CVV,CVV,
Default,Impostazione predefinita,
Delete Item,Cancella articolo,
Description,Descrizione,
Discard Edits,Annulla modifiche,
Do you want to log out of %@?,Desideri fare il log out da %@?,
Do you want to remove this photo?,Desideri rimuovere questa foto?,
End Session,Fine sessione,
Enter a valid card number,Inserisci un numero di carta valido,
Error validating the order. Please try again later.,Errore nella elaborazione dell'ordine. Si prega di riprovare più tardi.,
Failed to download phone case mask. Please check your internet connectivity and try again,Impossibile scaricare la maschera per la creazione della custodia. Controlla la connessione a internet e riprova.,
Failed to get upload URL. Try again later.,Impossibile ottenere la URL di caricamento. Si prega di riprovare più tardi.,
Failed to log in to Instagram. Please check your internet connectivity and try again,Impossibile fare il log in su Instagram. Verifica la connessione a internet e riprova,
"Failed to validate card details, please try again.","Impossibile verificare i dettagli della carta, si prega di riprovare.",
Filters,Filtri,
Flip,Capovolgi,
Fonts,Caratteri,
For only %@ extra,A soli %@ in più,
FREE,GRATUITO,
From,Da,
FRONT,FRONTE,
Great gifts for all the family,Eccezionali regali per tutta la famiglia,
IMAGE TOOLS,STRUMENTI IMMAGINE,
Image upload failed with a %lu HTTP response status code. Please try again.,Il caricamento dell'immagine non è riuscito con un codice di stato della risposta HTTP %lu,
inches,pollici,
Large,Large,
Let's pick\nan image!,Scegli\nun'immagine!,
Log In,Accedi,
Log out,Esci,
Login,Login,
Maximum Photos Reached,Limite foto raggiunto,
Medium,Medium,
MM/YY,MM/AA,
MORE ITEMS\nCOMING SOON!,ALTRI ARTICOLI\nIN ARRIVO,
No,No,
No Thanks,No Grazie,
"No, keep it","No, tieni",
Not now,Non adesso,
OOPS\nSOMETHING WENT WRONG\n PLEASE RETRY BELOW,OOPS\nQUALCOSA NON HA FUNZIONATO\nRIPROVA DI SEGUITO,
Or print on a product below â–¼,O stampa su un prodotto di seguito,
Order History,Cronologia ordini,
Pack of,Pacchetto di,
Photo Library,Galleria Foto,
Please add %d more.,Aggiungi altre %d.,
Please add some photos,Aggiungi qualche foto,
Please enter your first and last name.,Inserisci nome e cognome.,
Please fill in Line 1 of the address.,Inserisci l'indirizzo nella Riga 1.,
Please fill in your city.,Inserisci la tua città.,
Please fill in your postal code.,Inserisci il tuo codice postale.,
Please scan the QR code using a QR reader app on your device.,Scansiona il codice QR mediante un'app di lettura QR sul dispositivo.,
Please select %d images.,Seleziona %d immagini.,
Please select %ld photos,Seleziona %ld foto,
Please select at least %d images.,Seleziona almeno %d immagini.,
Please select no more than %d images.,Seleziona non più di %d immagini.,
Please select only %ld photo,Seleziona solo %ld foto,
Please select some images.,Seleziona qualche immagine.,
Please select up to %ld photos,Seleziona fino a %ld foto,
PRINT AT HOME,STAMPA A CASA,
Print It Anyway,Stampa comunque,
Print Shop,Print Shop,
Privacy Policy,Politica sulla Privacy,
PRODUCT OPTIONS,OPZIONI PRODOTTO,
Promotional Discount,Sconto promozionale,
Receipt,Ricevuta,
Recents,Recenti,
Remove?,Rimuovi?,
Rotate,Ruota,
Save as Copy,Salva come copia,
Scan QR Code,Scansiona codice QR,
Select Size,Seleziona la taglia,
Shipping Method,Metodi di spedizione,
Small,Small,
Start by tapping this button,Inizia toccando questo pulsante,
Start Creating,Inizia a creare,
Swipe to rotate your mug,Scorri con il dito per ruotare la tua tazza,
Tap image to change,Tocca l'immagine per cambiarla,
Tap image to change or hold to move,Tocca l'immagine per cambiarla o tieni premuto per spostarla,
Tap image to edit,Tocca l'immagine per modificarla,
Tap image to edit or hold to move,Tocca l'immagine per modificarla o tieni premuto per spostarla,
Tap on this button,Tocca questo pulsante,
Text Colour,Colore Testo,
TEXT TOOLS,STRUMENTI DI TESTO,
There was a problem getting Print Shop products. Check your Internet connectivity or try again later.,Si è verificato un problema con i prodotti nel Print Shop. Verifica la connessione a internet o riprova più tardi.,
There was an error getting one of your photos. Please remove or replace it.,Si è verificato un problema nella ricezione di una delle tue foto. Si prega di rimuoverla o di sostituirla.,
There was an error trying to validate the card. Please try again later.,Abbiamo riscontrato un errore nella verifica della carta. Si prega di riprovare più tardi.,
This will discard your edits.,Le tue modifiche andranno perse.,
"This will log out of any accounts, clear selected photos and start over","Verrà disconnesso l'accesso da ogni account, deseleziona le foto e ricomincia",
Tracked,Tracciato,
Uploading book,Caricamento libro,
View Item,Visualizza articolo,
WE HAVE RECEIVED\nYOUR ORDER,ABBIAMO RICEVUTO\nIL TUO ORDINE,
We need access to your %@ photos,Abbiamo bisogno di accedere alle foto del tuo dispositivo %@,/* Example: We need access to your iPhone photos */
Yes,Sì,
Yes Please,Sì grazie,
"Yes, remove it","Sì, rimuovilo",
You need to authorize the app to access your Instagram account if you want to import photos from there.,Riautorizza l'app per accedere al tuo account Instagram se desideri importare le tue foto.,
You've only selected %d photo.,Hai selezionato solo %d foto.,
You've only selected %d photos.,Hai selezionato solo %d foto.,
Your Phone,Il tuo telefono,
