ENGLISH/INTERNAL,TO TRANSLATE,COMMENT/CONTEXT
%ldx%ld Collage,%ldx%ld Collage,/* example: 5x7 Collage */
Add a photo\non this side,Add a photo\non this side,/* this side [of the shirt] */
Back Image Is Too Small,Back Image Is Too Small,
Completed Orders,Completed Orders,
For only %@ extra,For only %@ extra,/* [Add a photo on this side of the shirt] for only $4.00 extra */
MORE ITEMS\nCOMING SOON!,MORE ITEMS\nCOMING SOON!,
OOPS\nSOMETHING WENT WRONG\n PLEASE RETRY BELOW,OOPS\nSOMETHING WENT WRONG\n PLEASE RETRY BELOW,
Order History,Order History,
Please fill in your city.,Please fill in your city.,
Receipt,Receipt,
WE HAVE RECEIVED\nYOUR ORDER,WE HAVE RECEIVED\nYOUR ORDER,
