ENGLISH/INTERNAL,TO TRANSLATE,COMMENT/CONTEXT
%@ working days,%@ werkdagen,
%ldx%ld Collage,%ldx%ld collage,
1 day,1 dag,
Add %ld %@!,Voeg %ld %@ toe!,
Add a %@!,Voeg een %@ toe!,
Add a photo\non this side,Voeg een foto toe\nvoor deze zijde,
Add another %@!,Voeg een andere %@ toe!,
Add Credit Card,Voeg een creditcard toe,
Add Credit Card (TEST),Voeg een creditcard toe (TEST),
Add Text,Voeg tekst toe,
All Photos,Alle foto's,
Alternatively type the following URL into your mobile browser's address bar,Of type de volgende URL in de adresbalk van je browser,
Are you sure you want to delete this item?,Weet je zeker dat je dit item wilt verwijderen?,
Are you sure?,Weet je het zeker?,
Authorise,Autoriseren,
BACK,TERUG,
Back Image Is Too Small,Foto achterzijde is te klein,
Checkout,Afrekenen,
Choose Photo,Kies een foto,
cm,cm,
Completed Orders,Uitgevoerde bestellingen,
Create a %@ for\nonly %@ %@,Creëer een %@ voor\nslechts %@ %@,
Create a pack for\nonly %@ %@,Creëer een pack voor\nslechts %@ %@,
Create another %@ for\nonly %@ %@,Creëer er nog een %@ voor\nslechts %@ %@,
Create another pack for\nonly %@ %@,Creëer nog een pack voor\nslechts %@ %@,
Create Image,Creëer een afbeelding,
Crop,Bijsnijden,
CVV,CVV,
Default,Standaard,
Delete Item,Verwijder item,
Description,Beschrijving,
Discard Edits,Bewerkingen verwijderen,
Do you want to log out of %@?,Wil je uitloggen bij %@?,
Do you want to remove this photo?,Wil je deze foto verwijderen?,
End Session,Sessie beëindigen,
Enter a valid card number,Voer een geldig kaartnummer in,
Error validating the order. Please try again later.,Fout bij acceptatie van bestelling. Probeer het later opnieuw.,
Failed to download phone case mask. Please check your internet connectivity and try again,Downloaden van het template is mislukt. Controleer je internetverbinding en probeer het opnieuw,
Failed to get upload URL. Try again later.,Upload URL niet ontvangen. Probeer het later opnieuw.,
Failed to log in to Instagram. Please check your internet connectivity and try again,Aanmelden bij Instagram is mislukt. Controleer je internetverbinding en probeer het opnieuw,
"Failed to validate card details, please try again.","Controle van kaartgegevens is mislukt, probeer het opnieuw.",
Filters,Filters,
Flip,Kantelen,
Fonts,Lettertypen,
For only %@ extra,Voor slechts %@ extra,
FREE,GRATIS,
From,Van,
FRONT,VOORZIJDE,
Great gifts for all the family,Fantastische cadeaus voor het hele gezin,
IMAGE TOOLS,FOTOTOOLS,
Image upload failed with a %lu HTTP response status code. Please try again.,Uploaden van foto mislukt met een %lu HTTP-respons statuscode. Probeer het opnieuw.,
inches,inches,
Large,Groot,
Let's pick\nan image!,Laten we een \nfoto kiezen!,
Log In,Aanmelden,
Log out,Afmelden,
Login,Inloggen,
Maximum Photos Reached,Maximaal aantal foto's is bereikt,
Medium,Medium,
MM/YY,MM/JJ,
MORE ITEMS\nCOMING SOON!,BINNENKORT\nMEER ITEMS!,
No,Nee,
No Thanks,"Nee, bedankt",
"No, keep it","Nee, zo houden",
Not now,Nu niet,
