ENGLISH/INTERNAL,TO TRANSLATE,COMMENT/CONTEXT
%@ working days,%@ dni robocze,
%ldx%ld Collage,%ldx%ld kolaż,
1 day,1 dzień,
Add %ld %@!,Dodaj %ld %@!,
Add a %@!,Dodaj %@!,
Add a photo\non this side,Dodaj zdjęcie\nna tej stronie,
Add another %@!,Dodaj inne %@!,
Add Credit Card,Dodaj kartę kredytową,
Add Credit Card (TEST),Dodaj kartę kredytową (TEST),
Add Text,Dodaj tekst,
All Photos,Wszystkie zdjęcia,
Alternatively type the following URL into your mobile browser's address bar,Możesz również wpisać następujący adres URL w pasku adresu mobilnej wyszukiwarki w swoim telefonie,
Are you sure you want to delete this item?,Czy na pewno chcesz usunąć tą pozycję?,
Are you sure?,Na pewno?,
Authorise,Upoważnij,
BACK,POWRÓT,
Back Image Is Too Small,Obraz w tle jest zbyt mały,
Checkout,Sprawdź,
Choose Photo,Wybierz zdjęcie,
cm,cm,
Completed Orders,Wykonane zamówienia,
Create a %@ for\nonly %@ %@,Stwórz %@ tylko\ndla %@ %@,
Create a pack for\nonly %@ %@,Stwórz pakiet tylko\ndla %@ %@,
Create another %@ for\nonly %@ %@,Stwórz kolejne %@ tylko\ndla %@ %@,
Create another pack for\nonly %@ %@,Stwórz kolejny pakiet tylko\ndla %@ %@,
Create Image,Stwórz obraz,
Crop,Kadruj,
CVV,CVV,
Default,Domyślne,
Delete Item,Usuń element,
Description,Opis,
Discard Edits,Odrzuć edycję,
Do you want to log out of %@?,Czy chcesz wylogować się z %@?,
Do you want to remove this photo?,Czy chcesz usunąć zdjęcie?,
End Session,Zakończ sesję,
Enter a valid card number,Wprowadź ważny numer karty,
Error validating the order. Please try again later.,Błąd przy zatwierdzaniu zamówienia. Spróbuj ponownie później.,
Failed to download phone case mask. Please check your internet connectivity and try again,Nie udało się pobrać maski obudowy telefonu. Sprawdź połączenie internetowe i spróbuj ponownie,
Failed to get upload URL. Try again later.,Nie udało się zdobyć adresu URL przesyłania. Spróbuj później,
