ENGLISH/INTERNAL,TO TRANSLATE,COMMENT/CONTEXT
"**Quality Guarantee**\nOur products are of the highest quality and we’re confident you will love yours. If not, we offer a no quibble money back guarantee. Enjoy!","**Garantia de qualidade**\nOs nossos produtos são da qualidade mais elevada e temos a certeza de que vai adorar o seu. Caso contrário, oferecemos uma garantia de reembolso sem objeções. Desfrute!",
"Failed to validate card details, please try again.","Falha ao validar os detalhes do cartão, tente novamente.",
"No, keep it","Não, manter","/* No, keep [the photo] */"
"This will log out of any accounts, clear selected photos and start over","Esta ação terminará a sessão de qualquer conta, eliminará as fotografias selecionadas e recomeçará o procedimento",
"Yes, remove it","Sim, remover","/* Yes, remove [the photo] */"
%@ working days,%@ dias úteis,"/* Examples: 2-5 days, 7 days */"
%ldx%ld Collage,Colagem %ldx%ld,/* example: 5x7 Collage */
1 day,1 dia,
401 Unauthorized Request Error whilst trying to upload an asset. Please check you included an Authorization header and that the supplied auth credentials are correct.,Apresentação de 401 Unauthorized Request Error (Erro de pedido não autorização) durante o carregamento de um recurso. Verifique se incluiu um cabeçalho de Autorização e que as credenciais de autorização fornecidas estão corretas.,
500 Internal Server Error whilst trying to upload an asset. Please try again.,Apresentação de 500 Internal Server Error (Erro de servidor interno) durante o carregamento de um recurso. Tente novamente.,
Add %ld %@!,Adicione %ld %@!,
Add Address,Adicionar endereço,
Add Credit Card (TEST),Adicionar cartão de crédito (TESTE),
Add Credit Card,Adicionar cartão de crédito,
Add Credit/Debit Card,Adicionar cartão de crédito/débito,
Add New Address,Adicionar novo endereço,
Add Payment Method,Adicionar método de pagamento,
Add Text,Adicionar texto,/* Add text on image */
Add a %@!,Adicione um %@!,
Add a photo\non this side,Adicionar uma fotografia \nneste lado,/* this side [of the shirt] */
Add another %@!,Adicione outro %@!,
Add more,Adicionar mais,/* Add more [photos] */
Add to Basket,Adicionar ao cesto,
Add,Adicionar,
Address Book,Catálogo de endereços,
All Photos,Todas as fotografias,
Alternatively type the following URL into your mobile browser's address bar,"Em alternativa, introduza o seguinte URL na barra de endereço do browser do telemóvel",
Are you sure you want to delete this item?,Tem a certeza de que pretende eliminar este artigo?,/* Refers to a basket item */
Are you sure?,Tem a certeza?,
Authorise,Autorizar,
BACK,RETROCEDER,/* Back of the photo */
Back Image Is Too Small,A imagem de fundo é demasiado pequena,
Back,Retroceder,
Basket is empty,O cesto está vazio,
CVV,CVV,/* The credit card security code */
Cancel,Cancelar,
Card Number,Número do cartão,
Checking Code,A verificar o código,/* Checking promo code */
Checkout for Free!,Fase de pagamento gratuita!,
Checkout,Fase de pagamento,
Choose Address,Selecionar endereço,
Choose Country,Selecionar país,
Choose Delivery Address,Selecionar endereço de entrega,
Choose Photo,Selecionar fotografia,
Choose Photos,Selecionar fotografias,
City,Localidade,
Clearing Code,Código de validação,/* Clearing promo code */
Completed Orders,Encomendas concluídas,
Continue Shopping,Continuar a comprar,
County,Distrito,
Create Image,Criar imagem,
Create a %@ for\nonly %@ %@,Criar um %@ por\napenas %@ %@,
Create a pack for\nonly %@ %@,Criar um pacote por\napenas %@ %@,
Create another %@ for\nonly %@ %@,Criar outro %@ por\napenas %@ %@,
Create another pack for\nonly %@ %@,Criar outro pacote por\napenas %@ %@,
Crop,Cortar,/* Crop image */
Default,Predefinição,
Delete Item,Eliminar artigo,/* Delete [basket item] */
Delivery Details,Detalhes de entrega,
Description,Descrição,/* Product description */
Details,Detalhes,/* Product Details */
Discard Edits,Eliminar edições,
Do you want to log out of %@?,Pretende terminar a sessão de %@?,/* Log out of Instagram/Facebook */
Do you want to remove this photo?,Pretende remover esta fotografia?,
Done,Concluído,
Edit Address,Editar endereço,
Edit,Editar,/* Edit image */
Email,E-mail,
End Session,Terminar sessão,
Enter Address Manually,Introduza manualmente o endereço,
Enter a valid CVV number,Introduza um número CVV válido,/* The credit card security number */
Enter a valid card number,Introduza um número de cartão válido,
Enter a valid expiry date,Introduza uma data de validade válida,/* For credit cards */
Error validating the order. Please try again later.,Erro ao validar a encomenda. Tente novamente mais tarde.,
FREE,GRATUITO,"/* Free, no cost */"
FRONT,FRENTE,/* Front of the photo */
Failed to download phone case mask. Please check your internet connectivity and try again,Falha ao transferir a máscara de capa para telemóvel. Verifique a sua ligação à Internet e tente novamente,
Failed to get the price of the order. Please try again.,Falha ao obter o preço da encomenda. Tente novamente.,
Failed to get upload URL. Try again later.,Falha ao obter o URL de carregamento. Tente novamente mais tarde.,
Failed to log in to Instagram. Please check your internet connectivity and try again,Falha ao iniciar sessão no Instagram. Verifique a sua ligação à Internet e tente novamente,
Failed to store card details with PayPal. Please try again.,Falha ao guardar os detalhes do cartão no PayPal. Tente novamente.,
Failed to synchronize product templates. Please try again.,Falha ao sincronizar os modelos de produtos. Tente novamente.,
Failed to validate the order. Please try again.,Falha ao validar a encomenda. Tente novamente.,
Filters,Filtros,/* Image filters */
First Name,Primeiro nome,
Flip,Rodar,/* Horizontally flip image */
Fonts,Tipos de letra,
For only %@ extra,Por apenas mais %@,/* [Add a photo on this side of the shirt] for only $4.00 extra */
From,A partir de,
Great gifts for all the family,Presentes fantásticos para toda a família,
IMAGE TOOLS,FERRAMENTAS DE IMAGEM,
Image Is Too Small,A imagem é demasiado pequena,
Image upload failed with a %lu HTTP response status code. Please try again.,Falha no carregamento de imagens com um código de estado de resposta HTTP %lu. Tente novamente.,
Invalid Email Address,Endereço de e-mail inválido,
Invalid Phone Number,Número de telefone inválido,
Large,Visor central,
Last Name,Sobrenome,
Let's pick\nan image!,Vamos escolher\numa imagem!,"/* Let's pick an image! The \n means there is a line break there. Please put it in the middle of the phrase, as best as you can. If one needs to be longer, it should be the first half. */"
Line 1,Linha 1,
Line 2,Linha 2,
Log In,Iniciar sessão,
Log out,Terminar sessão,
Login,Iniciar sessão,
MM/YY,MM/AA,/* Credit card date format: MonthMonth/YearYear */
MORE ITEMS\nCOMING SOON!,MAIS ARTIGOS\nEM BREVE!,
Maximum Photos Reached,Número máximo de fotografias atingido,
Medium,Média,
Missing Delivery Address,Endereço de entrega em falta,
Move Pages,Mover páginas,/* Title of a screen that allows the user to move the pages of a book around */
New Payment,Novo pagamento,
Next,Seguinte,
No Thanks,"Não, obrigado",
No,Não,
Not now,Agora não,
OK,OK,/* Acknowledgent to an alert dialog. */
OOPS\nSOMETHING WENT WRONG\n PLEASE RETRY BELOW,UPS\nOCORREU UM ERRO\n TENTE NOVAMENTE ABAIXO,
Only registered %d/%d image URLs with the asset endpoint,Foram apenas registados %d/%d URL de imagens com o recurso,
Oops!,Ups!,
Or print on a product below ▼,Ou imprima num produto abaixo ▼,
Order History,Histórico de encomendas,
Order Id,Id da encomenda,
Order Summary,Resumo da encomenda,
