ENGLISH/INTERNAL,TO TRANSLATE,COMMENT/CONTEXT
%@ days,%@ dni/dní
%ldx%ld Collage,Koláž %ldx%ld
"**Quality Guarantee**\nOur products are of the highest quality and we’re confident you will love yours. If not, we offer a no quibble money back guarantee. Enjoy!","**Záruka kvality**\nNaše produkty sa vyznačujú najvyššou kvalitou a sme si istí, že si tie svoje zamilujete. V opačnom prípade vám bez namietania vrátime peniaze. Užite si ich!"
1 day,1 deň
401 Unauthorized Request Error whilst trying to upload an asset. Please check you included an Authorization header and that the supplied auth credentials are correct.,"Pri pokuse o nahranie položky sa vyskytla chyba „401 neoprávnená požiadavka“. Skontrolujte, či ste vložili hlavičku overenia a či sú poskytnuté poverenia na oprávnenie správne."
500 Internal Server Error whilst trying to upload an asset. Please try again.,Pri pokuse o nahranie položky sa vyskytla „vnútorná chyba servera 500“. Skúste to znova.
Add,Pridať
Add %ld %@!,Pridať %ld %@!
Add a %@!,Pridať %@!
Add a photo\non this side,Pridať fotografiu\nna túto stranu
Add Address,Pridať adresu
Add another %@!,Pridať ďalšiu %@!
Add Credit Card,Pridať kreditnú kartu
Add Credit Card (TEST),Pridať kreditnú kartu (TEST)
Add Credit/Debit Card,Pridať kreditnú/debetnú kartu
Add more,Pridať ďalšie
Add New Address,Pridať novú adresu
Add Payment Method,Pridať spôsob platby
Add Text,Pridať text
Add to Basket,Pridať do košíka
Address Book,Adresár
All Photos,Všetky fotografie
Alternatively type the following URL into your mobile browser's address bar,Prípadne do panela s adresou v mobilnom prehliadači zadajte nasledujúcu webovú adresu
Are you sure you want to delete this item?,Naozaj chcete odstrániť túto položku?
Are you sure?,Naozaj?
Authorise,Oprávniť
Back,Späť
BACK,ZADNÁ STRANA
Back Image Is Too Small,Obrázok na zadnej strane je príliš malý
Basket is empty,Košík je prázdny
Cancel,Zrušiť
Card Number,Číslo karty
Checking Code,Kontroluje sa kód
Checkout,Overovanie
Checkout for Free!,Vyskúšajte zadarmo!
Choose Address,Vyberte adresu
Choose Country,Vyberte krajinu
Choose Delivery Address,Vyberte doručovaciu adresu
Choose Photo,Vyberte fotografiu
Choose Photos,Vyberte fotografie
City,Mesto
Clearing Code,Zľavový kód
cm,cm
Completed Orders,Dokončené objednávky
Continue Shopping,Pokračovať v nákupe
County,Kraj
Create a %@ for\nonly %@ %@,Vytvoriť %@ iba\nza %@ %@
