ENGLISH/INTERNAL,TO TRANSLATE,COMMENT/CONTEXT
%@ working days,%@ arbetsdagar,"/* Examples: 2-5 days, 7 days */"
%ldx%ld Collage,%ldx%ld-kollage,/* example: 5x7 Collage */
"**Quality Guarantee**\nOur products are of the highest quality and we’re confident you will love yours. If not, we offer a no quibble money back guarantee. Enjoy!",**Kvalitetsgaranti**\nVåra produkter är av högsta kvalitet och vi är övertygade om att du kommer att älska dem. Annars erbjuder vi alltid en pengarna-tillbaka-garanti. Vi hörs!,
1 day,1 dag,
401 Unauthorized Request Error whilst trying to upload an asset. Please check you included an Authorization header and that the supplied auth credentials are correct.,401 Unauthorized Request Error när du försökte överföra en tillgång. Kontrollera att du angav ett autentiseringshuvud och att angivna autentiseringsuppgifter är korrekta.,
500 Internal Server Error whilst trying to upload an asset. Please try again.,500 Internal Server Error medan du försöker ladda upp en tillgång. Försök igen.,
Add,Lägg till,
Add %ld %@!,Lägg till %ld%@!,
Add a %@!,Lägg till %@!,
Add a photo\non this side,Lägg till ett foto\npå denna sida,/* this side [of the shirt] */
Add Address,Lägg till adress,
Add another %@!,Lägg till ett till %@!,
Add Credit Card,Lägg till kreditkort,
Add Credit Card (TEST),Lägg till kreditkort (TEST),
Add Credit/Debit Card,Lägg till kredit-/betalkort,
Add more,Lägg till fler,/* Add more [photos] */
Add New Address,Lägg till ny adress,
Add Payment Method,Lägg till betalningsmetod,
Add Text,Lägg till text,/* Add text on image */
Add to Basket,Lägg till i varukorgen,
Address Book,Adressbok,
All Photos,Alla foton,
Alternatively type the following URL into your mobile browser's address bar,Du kan också skriva in följande webbadress i webbläsarens adressfält på mobilen,
Are you sure you want to delete this item?,Är du säker på att du vill ta bort denna artikel?,/* Refers to a basket item */
Are you sure?,Är du säker?,
Authorise,Auktorisera,
Back,Tillbaka,
BACK,BAKSIDA,/* Back of the photo */
Back Image Is Too Small,Bilden är för liten,
Basket is empty,Varukorgen är tom,
Cancel,Avbryt,
Card Number,Kortnummer,
Checking Code,Kontrollerar kod,/* Checking promo code */
Checkout,Gå till kassan,
Checkout for Free!,Gå till kassan utan extra kostnad!,
Choose Address,Välj adress,
Choose Country,Välj land,
Choose Delivery Address,Välj leveransadress,
Choose Photo,Välj foto,
Choose Photos,Välj foton,
City,Stad,
Clearing Code,Clearing-kod,/* Clearing promo code */
cm,cm,/* Centimeters */
Completed Orders,Slutförda beställningar,
Continue Shopping,Fortsätt handla,
County,Län,
Create a %@ for\nonly %@ %@,Skapa ett %@ för\nendast %@ %@,
Create a pack for\nonly %@ %@,Skapa ett paket för\nendast %@ %@,
Create another %@ for\nonly %@ %@,Skapa ett till %@ för\nendast %@ %@,
Create another pack for\nonly %@ %@,Skapa ett till paket för\nendast %@ %@,
Create Image,Skapa bild,
Crop,Beskär,/* Crop image */
CVV,CVV,/* The credit card security code */
Default,Standard,
Delete Item,Ta bort artikel,/* Delete [basket item] */
Delivery Details,Leveransinformation,
Description,Beskrivning,/* Product description */
Details,Detaljer,/* Product Details */
Discard Edits,Ångra redigeringar,
Do you want to log out of %@?,Vill du logga ut från %@?,/* Log out of Instagram/Facebook */
Do you want to remove this photo?,Vill du ta bort det här fotot?,
Done,Klart,
Edit,Redigera,/* Edit image */
Edit Address,Redigera adress,
Email,E-postadress,
End Session,Avsluta session,
Enter a valid card number,Ange ett giltigt kortnummer,
Enter a valid CVV number,Ange ett giltigt CVV-nummer,/* The credit card security number */
Enter a valid expiry date,Ange ett giltigt utgångsdatum,/* For credit cards */
Enter Address Manually,Ange adressen manuellt,
Error validating the order. Please try again later.,Fel vid validering av ordern. Försök igen senare.,
Failed to download phone case mask. Please check your internet connectivity and try again,Det gick inte att hämta masken för telefonskalet. Kontrollera din internet-anslutning och försök igen,
Failed to get the price of the order. Please try again.,Det gick inte att hämta priset för ordern. Försök igen.,
Failed to get upload URL. Try again later.,Det gick inte att överföra webbadressen. Försök igen senare.,
Failed to log in to Instagram. Please check your internet connectivity and try again,Det gick inte att logga in på Instagram. Kontrollera din internet-anslutning och försök igen,
Failed to store card details with PayPal. Please try again.,Det gick inte att spara kortuppgifterna hos PayPal. Försök igen.,
Failed to synchronize product templates. Please try again.,Det gick inte att synkronisera produktmallar. Försök igen.,
"Failed to validate card details, please try again.",Det gick inte att validera kortuppgifterna. Försök igen.,
Failed to validate the order. Please try again.,Det gick inte att validera. Försök igen.,
Filters,Filter,/* Image filters */
First Name,Förnamn,
