ENGLISH/INTERNAL,TO TRANSLATE,COMMENT/CONTEXT
"**Quality Guarantee**\nOur products are of the highest quality and we’re confident you will love yours. If not, we offer a no quibble money back guarantee. Enjoy!","** Qualitätsgarantie ** \nUnsere Produkte sind von höchster Qualität und wir sind sicher, dass du sie lieben wirst. Wenn nicht, bieten wir eine Geld zurück Garantie. Viel Spaß beim Shoppen!",
"Are you sure you want to proceed? If you do, the blank pages will be filled in with duplicate photos","Bist du sicher, dass du fortfahren möchtest? Wenn ja, werden die leeren Seiten mit doppelten Fotos ausgefüllt",
"Failed to validate card details, please try again.",Fehler beim Bestätigen der Kartendetails. Bitte versuche es erneut.,
"No, keep it","Nein, beibehalten",
"No, not yet","Nein, noch nicht",
"Search by postcode, street or address","Suche nach Postleitzahl, Straße oder Adresse",
"Search by street, address or ZIP code","Suche nach Straße, Adresse oder Postleitzahl",
"Yes, proceed","Ja, weitermachen",
"Yes, remove it","Ja, entfernen",
%ldx%ld Collage,%ldx%ld Kollagen,
401 Unauthorized Request Error whilst trying to upload an asset. Please check you included an Authorization header and that the supplied auth credentials are correct.,"401 Unerlaubter Anforderungsfehler beim Versuch, eine Datei hochzuladen. Bitte überprüfe, ob du einen Autorisierungs-Header integriert hast und dass die mitgelieferten auth-Anmeldeinformationen korrekt sind.",
500 Internal Server Error whilst trying to upload an asset. Please try again.,500 Interner Server Fehler beim Hochladen. Bitte noch einmal probieren,
Add %ld %@!,Füge %ld %@ hinzu!,
Add Address,Adresse hinzufügen,
Add Credit Card (TEST),Kreditkarte hinzufügen(TEST),
Add Credit Card,Kreditkarte hinzufügen,
Add Credit/Debit Card,Kreditkarte hinzufügen,
Add New Address,Neue Adresse hinzufügen,
Add Payment Method,Zahlungsmethode hinzufügen,
Add Text,Text hinzufügen,
Add a %@!,Füge %ld %@ hinzu!,
Add a photo\non this side,Füge ein Foto hinzu\nauf dieser Seite,
Add another %@!,Weitere %@ hinzufügen!,
Add more,Mehr hinzufügen,
Add to Basket,In den Warenkord legen,
Add,Hinzufügen,
Address Book,Adressbuch,
Address Search,Adresssuche,
All Photos,Alle Fotos,
Alternatively type the following URL into your mobile browser's address bar,Bitte gib Alternative diese URL in den Browser deines Smartphones ein,
Are you sure you want to delete this item?,"Bist du sicher, dass du diesen Artikel löschen möchtest?",
Are you sure?,Bist Du sicher?,
Authorise,Autorisieren,
BACK,ZURÜCK,
Back Image Is Too Small,Zurück Bild ist zu klein,
Back,Zurück,
Basket is empty,Der Warenkorb ist leer,
CVV,Prüfnummer,
Cancel,Abbrechen,
Card Number,Kartennummer,
Checking Code,Überprüfung Gutscheincode,
Checkout for Free!,Kostenlos Checkout,
Checkout,Zur Kasse gehen,
Choose Address,Adresse auswählen,
Choose Country,Land auswählen,
Choose Delivery Address,Lieferadresse auswählen,
Choose Photo,Wähle ein Foto aus,
Choose Photos,Wähle Fotos aus,
City,Stadt,
Clearing Code,Freischaltcode,
Completed Orders,Abgeschlossene Aufträge,
Continue Shopping,Weiter einkaufen,
Country,Land,
County,Bundesland,
Create Image,Bild erstellen,
Create a %@ for\nonly %@ %@,Erstelle einen %@ für\nnur %@ %@,
Create a pack for\nonly %@ %@,Erstelle ein Paket für\nnur %@ %@,
Create another %@ for\nonly %@ %@,Erstelle ein anderes %@ für\nnur %@ %@,
Create another pack for\nonly %@ %@,Erstelle ein anderes Paket für\nnur %@ %@,
Crop,Zuschneiden,
Default,Standard,
Delete Item,Element löschen,
Delivery Address,Lieferadresse,
Delivery Details,Lieferdetails,
Description,Beschreibung,
Details,Details,
Do you want to log out of %@?,Möchtest du dich von %@ abmelden?,
Do you want to remove this photo?,Möchtest du dieses Foto entfernen?,
Done,Erledigt,
Edit Address,Adresse bearbeiten,
Edit Poster,Poster bearbeiten,
Edit,Bearbeiten,
Email,E-Mail,
Enter Address Manually,Adresse manuell eintragen,
Enter a valid CVV number,Bitte gib eine gültige Prüfnummer ein,
Enter a valid card number,Bitte gib eine gültige Kartennummer ein,
Enter a valid expiry date,Bitte gib ein gültiges Ablaufdatum ein,
Error validating the order. Please try again later.,Fehler bei der Bestellbestätigung. Bitte versuche es später noch einmal.,
FREE,KOSTENLOS,
FRONT,VORDERSEITE,
Failed to download phone case mask. Please check your internet connectivity and try again,Fehler beim Herunterladen der Handyschale. Bitte überprüfe deine Internetverbindung und versuche es erneut,
Failed to get the price of the order. Please try again.,Preisermittlung der Bestellung fehlgeschlagen. Bitte versuche es erneut.,
Failed to get upload URL. Try again later.,Fehler beim Hochladen der URL. Bitte versuche es später erneut.,
