ENGLISH/INTERNAL,TO TRANSLATE,COMMENT/CONTEXT
"**Quality Guarantee**\nOur products are of the highest quality and we’re confident you will love yours. If not, we offer a no quibble money back guarantee. Enjoy!","**Garantie de Qualité**\nNos produits sont de la plus haute qualité et nous sommes certains que vous aimerez le vôtre. Sinon, nous offrons une garantie de remboursement. Profitez-en ! !",
"Are you sure you want to proceed? If you do, the blank pages will be filled in with duplicate photos","Êtes-vous sûr de vouloir continuer ? Si vous le faites, les pages vierges seront remplies avec des photos en double",
"Failed to validate card details, please try again.",Impossible de valider les détails de la carte. Veuillez réessayer.,
"No, keep it","Non, le garder",
"No, not yet","Non, pas maintenant",
"Search by postcode, street or address","Recherche par code postal, rue ou adresse",
"Search by street, address or ZIP code","Recherche par rue, adresse ou code postal",
"Yes, proceed","Oui, procédez",
"Yes, remove it","Oui, le retirer",
%ldx%ld Collage,%ldx%ld Collage,
401 Unauthorized Request Error whilst trying to upload an asset. Please check you included an Authorization header and that the supplied auth credentials are correct.,Une erreur 401 Requête non autorisée est survenue durant le téléchargement. Veuillez réessayer.,
500 Internal Server Error whilst trying to upload an asset. Please try again.,Une erreur 500 Serveur Interne est survenue durant le téléchargement. Veuillez réessayer.,
Add %ld %@!,Ajouter %ld %@!,
Add Address,Ajouter une adresse,
Add Credit Card (TEST),Ajouter une carte de crédit (TEST),
Add Credit Card,Ajouter une carte de crédit,
Add Credit/Debit Card,Ajouter une carte de crédit / débit,
Add New Address,Ajouter une nouvelle adresse,
Add Payment Method,Ajouter une méthode de paiement,
Add Text,Ajouter du texte,
Add a %@!,Ajouter un %@!,
Add a photo\non this side,Ajoute une photo\nde ce côté,
Add another %@!,Ajouter un autre %@!,
Add more,Ajouter plus,
Add to Basket,Ajouter au panier,
Add,Ajouter,
Address Book,Vos adresses,
Address Search,Rechercher une adresse,
All Photos,Toutes les photos,
Alternatively type the following URL into your mobile browser's address bar,"Autrement, saisissez l’URL suivante dans la barre de votre navigateur mobile",
Are you sure you want to delete this item?,Etes-vous sûr de vouloir supprimer cet élément ?,
Are you sure?,Êtes-vous certain ?,
Authorise,Autoriser,
BACK,RETOUR,
Back Image Is Too Small,L'image de derrière est trop petite,
Back,Retour,
Basket is empty,Le panier est vide,
CVV,CVV,
Cancel,Annuler,
Card Number,Numéro de carte,
Checking Code,Code de vérification,
Checkout for Free!,Commandez gratuitement !,
Checkout,Checkout,
Choose Address,Choisissez l'adresse,
Choose Country,Choisissez le pays,
Choose Delivery Address,Choisissez l'adresse de livraison,
Choose Photo,Choisir une photo,
Choose Photos,Choisir des photos,
City,Ville,
Clearing Code,Code de compensation,
Completed Orders,Commandes terminées,
Continue Shopping,Continuer mes achats,
Country,Pays,
County,Région,
Create Image,Créer une image,
Create a %@ for\nonly %@ %@,Créer un %@ pour\nseulement %@ %@,
Create a pack for\nonly %@ %@,Créer un pack pour\nseulement %@ %@,
Create another %@ for\nonly %@ %@,Créer un autre %@ pour\nseulement %@ %@,
Create another pack for\nonly %@ %@,Créer un autre pack pour\nseulement %@ %@,
Crop,Recadrage,
Default,Défaut,
Delete Item,Supprimer un élément,
Delivery Address,Adresse de livraison,
Delivery Details,Détails de livraison,
Description,Description,
Details,Détails,
Do you want to log out of %@?,Veux-tu te déconnecter de %@?,
Do you want to remove this photo?,Voulez-vous supprimer cette photo ?,
Done,OK,
Edit Address,Modifier l'adresse,
Edit Poster,Modifier le Poster,
Edit,Modifier,
Email,Email,
Enter Address Manually,Saisissez manuellement l'adresse,
Enter a valid CVV number,Saisissez un cryptogramme valide,
Enter a valid card number,Entrez un numéro de carte valide,
Enter a valid expiry date,Entrer une date d'expiratio valide,
Error validating the order. Please try again later.,Erreur de validation de la commande. Veuillez réessayer plus tard.,
FREE,GRATUIT,
FRONT,DEVANT,
Failed to download phone case mask. Please check your internet connectivity and try again,Impossible de télécharger le masque de coque de téléphone. Veuillez vérifier votre connexion Internet et réessayer,
Failed to get the price of the order. Please try again.,Nous n'avons pu enregistrer le total de la commande. Veuillez réessayer.,
Failed to get upload URL. Try again later.,Échec de l'importation de l'URL. Réessayez plus tard.,
Failed to log in to Instagram. Please check your internet connectivity and try again,Impossible de se connecter à Instagram. Vérifiez votre connexion Internet et réessayez,
Failed to store card details with PayPal. Please try again.,Nous n'avons pu enregistrer vos données Paypal. Veuillez réessayer.,
Failed to synchronize product templates. Please try again.,Nous n'avons pu synchroniser les gabarits produits. Veuillez réessayer.,
Failed to validate the order. Please try again.,Nous n'avons pu valider la commande. Veuillez réessayer.,
Filters,Filtres,
First Name,Prénom,
Flip,Inverser,
Fonts,Polices,
For only %@ extra,Pour seulement %@ de plus,
Great gifts for all the family,Supers cadeaux pour toute la famille,
IMAGE TOOLS,OUTILS D'IMAGE,
Image Is Too Small,La taille de l’image est insuffisante,
Image upload failed with a %lu HTTP response status code. Please try again.,Le téléchargement de l'image a échoué avec un code de réponse HTTP %lu. Veuillez réessayer.,
Invalid Email Address,Adresse e-mail non valide,
Invalid Phone Number,Numéro de téléphone non valide,
Large,Grand,
Last Name,Nom,
Let's pick\nan image!,Prenons une\n image!,
Line 1,Ligne 1,
Line 2,Ligne 2,
Log In,S'identifier,
Log out,Se déconnecter,
Login,S'identifier,
MM/YY,MM/AA,
MORE ITEMS\nCOMING SOON!,PLUS D'ARTICLES\nARRIVENT BIENTÔT !,
Maximum Photos Reached,Nombre maximum de photos atteint,
Medium,Moyen,
Missing Delivery Address,Adresse de livraison manquante,
Move Pages,Déplacerles pages,
New Payment,Nouveau paiement,
Next,Suivant,
No Thanks,Non merci,
No photos,Pas de photos,
No,Non,
Not now,Pas maintenant,
OK,Accepter,
OOPS\nSOMETHING WENT WRONG\n PLEASE RETRY BELOW,"ZUT,\nUNE ERREUR EST SURVENUE\nS'IL VOUS PLAÎT RÉESSAYER CI-DESSOUS",
Only registered %d/%d image URLs with the asset endpoint,Seules les URL d'image %d/%d enregistrées avec le point d'extrémité d'actif,
Oops!,Oups!,
Or print on a product below ▼,Ou imprimer sur un produit ci-dessous ▼,
Order History,Historique des commandes,
Order Id,Numéro de commande,
Order Summary,Récapitulatif de commande,
Our store is currently undergoing maintenance so no products are available for purchase at this time. Please try again a little later.,Notre magasin est actuellement en cours de maintenance donc aucun produit n'est disponible pour l'achat en ce moment. Veuillez réessayer un peu plus tard.,
PRINT AT HOME,IMPRIMER A LA MAISON,
PRODUCT OPTIONS,OPTIONS DU PRODUIT,
Pack of,Pack de,
Pay %@,Payer %@,
Paying With,Payer avec,
Payment (TEST),Paiement (TEST),
Payment Method,Méthode de paiement,
Payment,Paiement,
Phone,Téléphone,
Please add %d more.,Merci d'ajouter %d de plus.,
Please add at least one photo,Merci d'ajouter au moins une photo,
Please add some photos to your photo book,Merci d'ajouter des photos à votre livre,
Please choose an address to have your order shipped to,Veuillez choisir une adresse pour que votre commande soit expédiée,
Please enter a card expiry date in the future,Veuillez entrer une date d'expiration future de la carte,
Please enter a valid card number,Merci d'entrer un numéro de carte valide,
Please enter a valid email address,Merci d'ajouter une adresse e-mail valide,
Please enter a valid phone number,Merci d'ajouter un numéro de téléphonevalide,
