ENGLISH/INTERNAL,TO TRANSLATE,COMMENT/CONTEXT
%ldx%ld Collage,Kolaż %ldx%ld
"**Quality Guarantee**\nOur products are of the highest quality and we’re confident you will love yours. If not, we offer a no quibble money back guarantee. Enjoy!","**Gwarancja jakości**\nNasze produkty są najwyższej jakości i jesteśmy przekonani, że Ci się spodobają. W przeciwnym razie oferujemy bezproblemowy zwrot pieniędzy. Zapraszamy!"
401 Unauthorized Request Error whilst trying to upload an asset. Please check you included an Authorization header and that the supplied auth credentials are correct.,"401 Błąd nieautoryzowanego żądania podczas próby wysłania zasobu. Sprawdź, czy jesteś dołączony do nagłówka Authorization i czy dane autoryzacji są poprawne."
500 Internal Server Error whilst trying to upload an asset. Please try again.,500 Wewnętrzny błąd serwera podczas próby wysłania zasobu. Spróbuj jeszcze raz.
Add %ld %@!,Dodaj %ld %@!
Add Address,Dodaj adres
Add Credit Card (TEST),Dodaj kartę kredytową (TEST)
Add Credit Card,Dodaj kartę kredytową
Add Credit/Debit Card,Dodaj kartę kredytową/debetową
Add New Address,Dodaj nowy adres
Add Payment Method,Dodaj metodę płatności
Add Text,Dodaj tekst
Add a %@!,Dodaj %@!
Add a photo\non this side,Add a photo\non this side
Add another %@!,Dodaj kolejne %@!
Add more,Dodaj więcej
Add to Basket,Dodaj do koszyka
Add,Dodaj
Address Book,Książka adresowa
Address Search,Szukaj adresu
All Photos,Wszystkie zdjęcia
Alternatively type the following URL into your mobile browser's address bar,Możesz też wpisać następujący URL w pasku adresu przeglądarki
Are you sure you want to delete this item?,Czy na pewno chcesz usunąć ten element?
"Are you sure you want to proceed? If you do, the blank pages will be filled in with duplicate photos","Czy na pewno chcesz kontynuować? Jeśli to zrobisz, puste strony zostaną wypełnione zduplikowanymi zdjęciami."
Are you sure?,Czy jesteś pewien?
Authorise,Autoryzuj
BACK,WSTECZ
Back Image Is Too Small,Back Image Is Too Small
Back,Wstecz
Basket is empty,Koszyk jest pusty
CVV,CVV
Cancel,Anuluj
Card Number,Numer karty
Checking Code,Sprawdzanie kodu
Checkout for Free!,Zrealizuj zamówienie za darmo!
Checkout,Realizuj zamówienie
Choose Address,Wybierz adres
Choose Country,Wybierz kraj
Choose Delivery Address,Wybierz adres dostawy
Choose Photo,Wybierz zdjęcie
Choose Photos,Wybierz zdjęcia
City,Miasto
Clearing Code,Stosowanie kodu
Completed Orders,Completed Orders
Continue Shopping,Kontynuuj zakupy
Country,Kraj
County,Województwo
Create Image,Utwórz obraz
Create a %@ for\nonly %@ %@,Utwórz %@ za\njedynie %@ %@
Create a pack for\nonly %@ %@,Utwórz pakiet za\njedynie %@ %@
Create another %@ for\nonly %@ %@,Utwórz kolejne %@ za\njedynie %@ %@
Create another pack for\nonly %@ %@,Utwórz kolejny pakiet za\njedynie %@ %@
Crop,Przytnij
Default,Domyślne
Delete Item,Usuń element
Delivery Address,Adres dostawy
Delivery Details,Szczegóły dostawy
Description,Opis
Details,Szczegóły
Do you want to log out of %@?,Czy chcesz się wylogować z %@?
Do you want to remove this photo?,Czy chcesz usunąć to zdjęcie?
Done,Gotowe
Edit Address,Edytuj adres
Edit Poster,Edytuj plakat
Edit,Edycja
Email,E-mail
Enter Address Manually,Wprowadź adres ręcznie
Enter a valid CVV number,Wprowadź prawidłowy kod CVV
Enter a valid card number,Wprowadź prawidłowy numer karty
Enter a valid expiry date,Wprowadź prawidłową datę ważności
Error validating the order. Please try again later.,Błąd podczas weryfikacji zamówienia. Spróbuj ponownie później.
FREE,BEZPŁATNIE
FRONT,PRZÓD
Failed to download phone case mask. Please check your internet connectivity and try again,Błąd podczas pobierania maski etui telefonu. Sprawdź połączenie z internetem i spróbuj jeszcze raz.
Failed to get the price of the order. Please try again.,Błąd podczas pobierania ceny zamówienia. Spróbuj jeszcze raz.
Failed to get upload URL. Try again later.,Błąd podzas pobierania adresu URL do wysyłki. Spróbuj ponownie później.
Failed to log in to Instagram. Please check your internet connectivity and try again,Błąd podczas logowania na Instagramie. Sprawdź połączenie z internetem i spróbuj jeszcze raz.
Failed to store card details with PayPal. Please try again.,Błąd podczas zapisywania informacji o karcie w PayPal. Spróbuj jeszcze raz.
Failed to synchronize product templates. Please try again.,Błąd podczas synchronizacji szablonów produktu. Spróbuj jeszcze raz.
"Failed to validate card details, please try again.","Błąd podczas weryfikacji szczegółów karty, spróbuj jeszcze raz."
Failed to validate the order. Please try again.,Błąd podczas weryfikacji zamówienia. Spróbuj jeszcze raz.
Filters,Filtry
First Name,Imię
Flip,Przerzuć
Fonts,Czcionki
For only %@ extra,For only %@ extra
Great gifts for all the family,Świetne prezenty dla całej rodziny
IMAGE TOOLS,NARZĘDZIA OBRAZÓW
Image Is Too Small,Obraz jest za mały
Image upload failed with a %lu HTTP response status code. Please try again.,"Wysyłanie obrazu nie powiodło się, kod statusu HTTP: %lu. Spróbuj jeszcze raz."
Invalid Email Address,Nieprawidłowy adres e-mail
Invalid Phone Number,Nieprawidłowy numer telefonu
Large,Duży
Last Name,Nazwisko
Let's pick\nan image!,Wybierzmy\nobraz!
Line 1,Wiersz 1
Line 2,Wiersz 2
Log In,Zaloguj się
Log out,Wyloguj się
Login,Logowanie
MM/YY,MM/RR
MORE ITEMS\nCOMING SOON!,MORE ITEMS\nCOMING SOON!
Maximum Photos Reached,Osiągnięto maksymalną liczbę zdjęć
Medium,Średnie
Missing Delivery Address,Brak adresu dostawy
Move Pages,Przenieś strony
New Payment,Nowa płatność
Next,Następny
No Thanks,"Nie, dziękuję"
No photos,Brak zdjęć
No,Nie
"No, keep it","Nie, zachowaj je"
"No, not yet","Nie, jeszcze nie"
